T1, T2, T3, T4
1522327214334,1522327214473,1522327214473,1522327214614
1522327214614,1522327214752,1522327214752,1522327214894
1522327214894,1522327215033,1522327215033,1522327215173
1522327215174,1522327215312,1522327215312,1522327215453
1522327215453,1522327215591,1522327215591,1522327215732
1522327215732,1522327215871,1522327215871,1522327216012
1522327216012,1522327216150,1522327216151,1522327216291
1522327216292,1522327216430,1522327216430,1522327216571
1522327216571,1522327216709,1522327216709,1522327216850
1522327216850,1522327216988,1522327216988,1522327217129
1522327217129,1522327217268,1522327217268,1522327217409
1522327217409,1522327217547,1522327217547,1522327217689
1522327217689,1522327217827,1522327217827,1522327217968
1522327217968,1522327218106,1522327218106,1522327218247
1522327218247,1522327218385,1522327218385,1522327218526
1522327218526,1522327218664,1522327218665,1522327218806
1522327218806,1522327218944,1522327218944,1522327219085
1522327219085,1522327219223,1522327219224,1522327219364
1522327219365,1522327219503,1522327219503,1522327219644
1522327219644,1522327219782,1522327219782,1522327219923
1522327219923,1522327220062,1522327220062,1522327220203
1522327220203,1522327220341,1522327220341,1522327220482
1522327220482,1522327220620,1522327220620,1522327220761
1522327220761,1522327220899,1522327220899,1522327221040
1522327221040,1522327221179,1522327221179,1522327221320
1522327221320,1522327221458,1522327221458,1522327221599
1522327221599,1522327221737,1522327221738,1522327221879
1522327221879,1522327222017,1522327222017,1522327222158
1522327222158,1522327222297,1522327222297,1522327222439
1522327222439,1522327222577,1522327222577,1522327222719
1522327222719,1522327222857,1522327222857,1522327222998
1522327222998,1522327223138,1522327223138,1522327223280
1522327223280,1522327223418,1522327223418,1522327223560
1522327223560,1522327223700,1522327223700,1522327223841
1522327223841,1522327223979,1522327223980,1522327224120
1522327224121,1522327224259,1522327224259,1522327224401
1522327224401,1522327224539,1522327224539,1522327224680
1522327224680,1522327224818,1522327224818,1522327224959
1522327224959,1522327225097,1522327225098,1522327225239
1522327225239,1522327225377,1522327225377,1522327225518
1522327225518,1522327225656,1522327225656,1522327225797
1522327225797,1522327225935,1522327225936,1522327226076
1522327226077,1522327226215,1522327226215,1522327226356
1522327226356,1522327226494,1522327226494,1522327226635
1522327226635,1522327226774,1522327226774,1522327226915
1522327226915,1522327227053,1522327227054,1522327227195
1522327227195,1522327227333,1522327227333,1522327227475
1522327227475,1522327227613,1522327227613,1522327227755
1522327227755,1522327227893,1522327227893,1522327228034
1522327228034,1522327228172,1522327228173,1522327228314
1522327228314,1522327228453,1522327228453,1522327228594
1522327228594,1522327228733,1522327228733,1522327228874
1522327228874,1522327229012,1522327229012,1522327229154
1522327229154,1522327229292,1522327229293,1522327229434
1522327229434,1522327229572,1522327229572,1522327229713
1522327229713,1522327229851,1522327229851,1522327229992
1522327229992,1522327230130,1522327230131,1522327230272
1522327230272,1522327230410,1522327230410,1522327230551
1522327230551,1522327230689,1522327230690,1522327230831
1522327230831,1522327230969,1522327230969,1522327231110
1522327231110,1522327231248,1522327231248,1522327231389
1522327231389,1522327231527,1522327231527,1522327231669
1522327231669,1522327231806,1522327231807,1522327231948
1522327231948,1522327232086,1522327232086,1522327232227
1522327232227,1522327232365,1522327232366,1522327232507
1522327232507,1522327232645,1522327232646,1522327232786
1522327232787,1522327232925,1522327232925,1522327233066
1522327233066,1522327233204,1522327233205,1522327233345
1522327233345,1522327233484,1522327233484,1522327233625
1522327233625,1522327233763,1522327233763,1522327233905
1522327233905,1522327234043,1522327234043,1522327234184
1522327234184,1522327234322,1522327234322,1522327234464
1522327234464,1522327234602,1522327234602,1522327234743
1522327234743,1522327234881,1522327234881,1522327235022
1522327235022,1522327235160,1522327235160,1522327235302
1522327235302,1522327235440,1522327235440,1522327235581
1522327235581,1522327235719,1522327235719,1522327235860
1522327235860,1522327235998,1522327235999,1522327236140
1522327236140,1522327236278,1522327236278,1522327236420
1522327236420,1522327236558,1522327236558,1522327236699
1522327236700,1522327236838,1522327236838,1522327236979
1522327236979,1522327237118,1522327237118,1522327237259
1522327237259,1522327237398,1522327237398,1522327237539
1522327237539,1522327237677,1522327237678,1522327237819
1522327237819,1522327237957,1522327237957,1522327238098
1522327238098,1522327238237,1522327238237,1522327238378
1522327238378,1522327238516,1522327238516,1522327238658
1522327238658,1522327238796,1522327238796,1522327238938
1522327238938,1522327239077,1522327239077,1522327239218
1522327239218,1522327239356,1522327239356,1522327239498
1522327239498,1522327239636,1522327239636,1522327239777
1522327239777,1522327239915,1522327239915,1522327240056
1522327240056,1522327240195,1522327240195,1522327240336
1522327240336,1522327240474,1522327240474,1522327240615
1522327240615,1522327240754,1522327240754,1522327240895
1522327240895,1522327241034,1522327241034,1522327241175
1522327241175,1522327241314,1522327241315,1522327241456
1522327241456,1522327241594,1522327241594,1522327241736
1522327241736,1522327241874,1522327241874,1522327242015
1522327242015,1522327242153,1522327242153,1522327242294
1522327242294,1522327242433,1522327242433,1522327242574
1522327242574,1522327242712,1522327242713,1522327242854
1522327242854,1522327242993,1522327242993,1522327243134
1522327243134,1522327243272,1522327243272,1522327243413
1522327243413,1522327243552,1522327243552,1522327243693
1522327243693,1522327243831,1522327243832,1522327243973
1522327243973,1522327244111,1522327244111,1522327244252
1522327244252,1522327244390,1522327244390,1522327244531
1522327244532,1522327244670,1522327244670,1522327244811
1522327244811,1522327244949,1522327244949,1522327245091
1522327245091,1522327245229,1522327245229,1522327245371
1522327245371,1522327245509,1522327245509,1522327245650
1522327245650,1522327245788,1522327245788,1522327245929
1522327245929,1522327246067,1522327246067,1522327246208
1522327246208,1522327246346,1522327246346,1522327246487
1522327246487,1522327246625,1522327246626,1522327246767
1522327246767,1522327246905,1522327246905,1522327247046
1522327247046,1522327247185,1522327247187,1522327247328
1522327247328,1522327247467,1522327247467,1522327247608
1522327247608,1522327247746,1522327247746,1522327247887
1522327247887,1522327248025,1522327248026,1522327248167
1522327248167,1522327248305,1522327248305,1522327248446
1522327248446,1522327248584,1522327248585,1522327248726
1522327248726,1522327248864,1522327248864,1522327249005
1522327249005,1522327249143,1522327249143,1522327249284
1522327249284,1522327249422,1522327249422,1522327249563
1522327249563,1522327249701,1522327249702,1522327249844
1522327249844,1522327249982,1522327249982,1522327250124
1522327250124,1522327250262,1522327250262,1522327250404
1522327250404,1522327250543,1522327250543,1522327250685
1522327250686,1522327250824,1522327250826,1522327250967
1522327250967,1522327251105,1522327251106,1522327251247
1522327251247,1522327251386,1522327251386,1522327251527
1522327251527,1522327251665,1522327251665,1522327251806
1522327251806,1522327251944,1522327251945,1522327252086
1522327252086,1522327252224,1522327252224,1522327252365
1522327252365,1522327252504,1522327252504,1522327252645
1522327252645,1522327252783,1522327252783,1522327252931
1522327252931,1522327253070,1522327253071,1522327253211
1522327253211,1522327253349,1522327253350,1522327253490
1522327253490,1522327253628,1522327253628,1522327253769
1522327253769,1522327253907,1522327253908,1522327254048
1522327254048,1522327254186,1522327254186,1522327254328
1522327254328,1522327254466,1522327254466,1522327254607
1522327254607,1522327254745,1522327254745,1522327254886
1522327254886,1522327255025,1522327255025,1522327255165
1522327255165,1522327255304,1522327255304,1522327255445
1522327255445,1522327255584,1522327255584,1522327255726
1522327255726,1522327255864,1522327255864,1522327256005
1522327256005,1522327256143,1522327256144,1522327256285
1522327256285,1522327256424,1522327256424,1522327256565
1522327256565,1522327256703,1522327256704,1522327256845
1522327256845,1522327256983,1522327256983,1522327257124
1522327257124,1522327257262,1522327257262,1522327257403
1522327257403,1522327257542,1522327257542,1522327257683
1522327257683,1522327257822,1522327257822,1522327257963
1522327257963,1522327258102,1522327258102,1522327258243
1522327258243,1522327258381,1522327258382,1522327258522
1522327258522,1522327258661,1522327258661,1522327258802
1522327258802,1522327258941,1522327258941,1522327259083
1522327259083,1522327259221,1522327259221,1522327259362
1522327259363,1522327259501,1522327259501,1522327259642
1522327259642,1522327259780,1522327259780,1522327259921
1522327259921,1522327260059,1522327260059,1522327260201
1522327260201,1522327260339,1522327260339,1522327260480
1522327260480,1522327260618,1522327260618,1522327260760
1522327260760,1522327260898,1522327260899,1522327261039
1522327261039,1522327261177,1522327261178,1522327261319
1522327261319,1522327261457,1522327261457,1522327261598
1522327261598,1522327261736,1522327261737,1522327261877
1522327261877,1522327262015,1522327262016,1522327262157
1522327262157,1522327262295,1522327262295,1522327262436
1522327262436,1522327262574,1522327262574,1522327262715
1522327262715,1522327262853,1522327262853,1522327262994
1522327262994,1522327263133,1522327263133,1522327263274
1522327263274,1522327263412,1522327263412,1522327263553
1522327263553,1522327263691,1522327263691,1522327263832
1522327263833,1522327263971,1522327263972,1522327264113
1522327264113,1522327264251,1522327264251,1522327264392
1522327264392,1522327264530,1522327264531,1522327264671
1522327264671,1522327264810,1522327264810,1522327264951
1522327264951,1522327265090,1522327265090,1522327265231
1522327265231,1522327265371,1522327265371,1522327265512
1522327265512,1522327265650,1522327265650,1522327265792
1522327265792,1522327265930,1522327265930,1522327266071
1522327266071,1522327266209,1522327266210,1522327266351
1522327266351,1522327266489,1522327266489,1522327266630
1522327266630,1522327266768,1522327266768,1522327266909
1522327266909,1522327267048,1522327267048,1522327267189
1522327267189,1522327267327,1522327267327,1522327267468
1522327267468,1522327267606,1522327267607,1522327267748
1522327267748,1522327267887,1522327267887,1522327268028
1522327268028,1522327268167,1522327268167,1522327268308
1522327268308,1522327268447,1522327268447,1522327268589
1522327268589,1522327268727,1522327268727,1522327268868
1522327268868,1522327269007,1522327269007,1522327269149
1522327269149,1522327269287,1522327269287,1522327269428
1522327269429,1522327269567,1522327269567,1522327269708
1522327269708,1522327269846,1522327269847,1522327269988
1522327269988,1522327270126,1522327270126,1522327270267
1522327270267,1522327270405,1522327270405,1522327270546
1522327270546,1522327270685,1522327270685,1522327270826
1522327270826,1522327270964,1522327270964,1522327271105
1522327271105,1522327271244,1522327271244,1522327271385
1522327271385,1522327271523,1522327271523,1522327271664
1522327271664,1522327271802,1522327271803,1522327271945
1522327271945,1522327272084,1522327272084,1522327272225
1522327272225,1522327272363,1522327272364,1522327272505
1522327272505,1522327272643,1522327272644,1522327272785
1522327272785,1522327272923,1522327272924,1522327273065
1522327273065,1522327273204,1522327273204,1522327273345
1522327273345,1522327273484,1522327273484,1522327273625
1522327273625,1522327273764,1522327273764,1522327273905
1522327273905,1522327274043,1522327274043,1522327274184
1522327274184,1522327274322,1522327274322,1522327274464
1522327274464,1522327274602,1522327274602,1522327274743
1522327274743,1522327274881,1522327274882,1522327275023
1522327275023,1522327275162,1522327275162,1522327275303
1522327275303,1522327275441,1522327275441,1522327275582
1522327275582,1522327275720,1522327275720,1522327275861
1522327275862,1522327276000,1522327276000,1522327276141
1522327276141,1522327276279,1522327276279,1522327276420
1522327276420,1522327276558,1522327276558,1522327276699
1522327276699,1522327276838,1522327276838,1522327276979
1522327276979,1522327277117,1522327277117,1522327277258
1522327277258,1522327277396,1522327277396,1522327277539
1522327277539,1522327277679,1522327277679,1522327277820
1522327277820,1522327277958,1522327277958,1522327278111
1522327278111,1522327278251,1522327278252,1522327278398
1522327278398,1522327278537,1522327278537,1522327278679
1522327278679,1522327278817,1522327278818,1522327278959
1522327278959,1522327279097,1522327279098,1522327279239
1522327279239,1522327279378,1522327279378,1522327279519
1522327279519,1522327279658,1522327279658,1522327279799
1522327279799,1522327279937,1522327279937,1522327280078
1522327280078,1522327280216,1522327280216,1522327280357
1522327280357,1522327280495,1522327280496,1522327280637
1522327280637,1522327280775,1522327280775,1522327280916
1522327280916,1522327281054,1522327281055,1522327281195
1522327281195,1522327281333,1522327281334,1522327281475
1522327281475,1522327281613,1522327281613,1522327281754
1522327281754,1522327281892,1522327281892,1522327282033
1522327282033,1522327282171,1522327282172,1522327282312
1522327282313,1522327282451,1522327282451,1522327282592
1522327282592,1522327282730,1522327282730,1522327282871
1522327282871,1522327283009,1522327283010,1522327283151
1522327283151,1522327283289,1522327283289,1522327283430
1522327283430,1522327283568,1522327283569,1522327283709
1522327283709,1522327283847,1522327283847,1522327283988
1522327283988,1522327284127,1522327284127,1522327284268
1522327284268,1522327284406,1522327284406,1522327284548
1522327284548,1522327284685,1522327284686,1522327284827
1522327284827,1522327284965,1522327284966,1522327285107
1522327285107,1522327285247,1522327285247,1522327285389
1522327285389,1522327285527,1522327285527,1522327285668
1522327285668,1522327285806,1522327285807,1522327285948
1522327285948,1522327286086,1522327286087,1522327286228
1522327286228,1522327286366,1522327286366,1522327286508
1522327286508,1522327286646,1522327286646,1522327286787
1522327286787,1522327286925,1522327286926,1522327287068
1522327287068,1522327287207,1522327287207,1522327287348
1522327287349,1522327287487,1522327287487,1522327287628
1522327287628,1522327287766,1522327287767,1522327287908
1522327287908,1522327288046,1522327288046,1522327288188
1522327288188,1522327288326,1522327288326,1522327288467
1522327288467,1522327288606,1522327288606,1522327288747
1522327288747,1522327288885,1522327288886,1522327289027
1522327289027,1522327289165,1522327289165,1522327289306
1522327289306,1522327289444,1522327289445,1522327289586
1522327289586,1522327289724,1522327289724,1522327289865
1522327289865,1522327290003,1522327290004,1522327290144
1522327290145,1522327290283,1522327290283,1522327290424
1522327290424,1522327290562,1522327290562,1522327290705
1522327290705,1522327290844,1522327290844,1522327290985
1522327290985,1522327291124,1522327291124,1522327291265
1522327291265,1522327291404,1522327291404,1522327291545
1522327291545,1522327291684,1522327291684,1522327291825
1522327291825,1522327291963,1522327291963,1522327292104
1522327292104,1522327292242,1522327292242,1522327292383
1522327292383,1522327292522,1522327292522,1522327292663
1522327292663,1522327292801,1522327292801,1522327292943
1522327292943,1522327293081,1522327293081,1522327293222
1522327293222,1522327293360,1522327293360,1522327293501
1522327293501,1522327293640,1522327293640,1522327293781
1522327293781,1522327293919,1522327293919,1522327294060
1522327294060,1522327294198,1522327294199,1522327294339
1522327294339,1522327294478,1522327294478,1522327294619
1522327294619,1522327294757,1522327294757,1522327294898
1522327294899,1522327295037,1522327295037,1522327295178
1522327295178,1522327295316,1522327295317,1522327295458
1522327295458,1522327295596,1522327295596,1522327295738
1522327295738,1522327295876,1522327295876,1522327296017
1522327296017,1522327296156,1522327296156,1522327296298
1522327296299,1522327296439,1522327296439,1522327296580
1522327296580,1522327296719,1522327296719,1522327296861
1522327296861,1522327296999,1522327296999,1522327297140
1522327297140,1522327297278,1522327297278,1522327297420
1522327297420,1522327297558,1522327297558,1522327297699
1522327297699,1522327297838,1522327297838,1522327297979
1522327297979,1522327298118,1522327298118,1522327298259
1522327298259,1522327298397,1522327298397,1522327298538
1522327298538,1522327298677,1522327298677,1522327298819
1522327298819,1522327298957,1522327298957,1522327299098
1522327299098,1522327299236,1522327299236,1522327299377
1522327299377,1522327299515,1522327299516,1522327299657
1522327299657,1522327299796,1522327299796,1522327299937
1522327299937,1522327300075,1522327300076,1522327300216
1522327300216,1522327300355,1522327300355,1522327300496
1522327300497,1522327300636,1522327300636,1522327300777
1522327300777,1522327300915,1522327300916,1522327301057
1522327301057,1522327301196,1522327301196,1522327301337
1522327301337,1522327301476,1522327301476,1522327301617
1522327301617,1522327301755,1522327301755,1522327301896
1522327301896,1522327302035,1522327302035,1522327302176
1522327302176,1522327302314,1522327302314,1522327302455
1522327302455,1522327302593,1522327302594,1522327302735
1522327302735,1522327302874,1522327302874,1522327303019
1522327303019,1522327303157,1522327303158,1522327303299
1522327303299,1522327303438,1522327303438,1522327303579
1522327303579,1522327303717,1522327303717,1522327303859
1522327303859,1522327303997,1522327303997,1522327304138
1522327304138,1522327304276,1522327304277,1522327304418
1522327304418,1522327304556,1522327304556,1522327304697
1522327304697,1522327304835,1522327304835,1522327304976
1522327304976,1522327305114,1522327305114,1522327305255
1522327305255,1522327305393,1522327305393,1522327305534
1522327305534,1522327305672,1522327305672,1522327305814
1522327305814,1522327305952,1522327305952,1522327306093
1522327306093,1522327306231,1522327306231,1522327306372
1522327306372,1522327306510,1522327306510,1522327306652
1522327306652,1522327306790,1522327306790,1522327306931
1522327306931,1522327307069,1522327307069,1522327307210
1522327307210,1522327307348,1522327307348,1522327307489
1522327307489,1522327307627,1522327307627,1522327307768
1522327307768,1522327307907,1522327307907,1522327308048
1522327308048,1522327308186,1522327308187,1522327308328
1522327308328,1522327308466,1522327308467,1522327308607
1522327308607,1522327308746,1522327308746,1522327308887
1522327308887,1522327309026,1522327309026,1522327309167
1522327309167,1522327309305,1522327309305,1522327309446
1522327309446,1522327309584,1522327309584,1522327309725
1522327309725,1522327309864,1522327309864,1522327310005
1522327310005,1522327310143,1522327310143,1522327310284
1522327310284,1522327310422,1522327310422,1522327310563
1522327310563,1522327310701,1522327310701,1522327310843
1522327310843,1522327310981,1522327310982,1522327311122
1522327311122,1522327311261,1522327311261,1522327311402
1522327311402,1522327311540,1522327311540,1522327311681
1522327311681,1522327311819,1522327311820,1522327311960
1522327311960,1522327312098,1522327312098,1522327312239
1522327312239,1522327312378,1522327312378,1522327312519
1522327312519,1522327312657,1522327312657,1522327312798
1522327312798,1522327312936,1522327312936,1522327313077
1522327313077,1522327313215,1522327313216,1522327313356
1522327313356,1522327313494,1522327313495,1522327313637
1522327313637,1522327313776,1522327313776,1522327313917
1522327313917,1522327314056,1522327314056,1522327314196
1522327314196,1522327314334,1522327314335,1522327314475
1522327314475,1522327314613,1522327314614,1522327314755
1522327314755,1522327314893,1522327314893,1522327315034
1522327315034,1522327315172,1522327315172,1522327315313
1522327315314,1522327315452,1522327315452,1522327315593
1522327315593,1522327315731,1522327315731,1522327315872
1522327315872,1522327316010,1522327316010,1522327316152
1522327316152,1522327316290,1522327316290,1522327316431
1522327316431,1522327316569,1522327316569,1522327316711
1522327316711,1522327316849,1522327316849,1522327316990
1522327316990,1522327317128,1522327317129,1522327317269
1522327317269,1522327317408,1522327317408,1522327317549
1522327317549,1522327317687,1522327317687,1522327317828
1522327317828,1522327317967,1522327317967,1522327318108
1522327318108,1522327318246,1522327318246,1522327318388
1522327318388,1522327318526,1522327318526,1522327318667
1522327318667,1522327318806,1522327318806,1522327318947
1522327318947,1522327319085,1522327319085,1522327319226
1522327319226,1522327319364,1522327319365,1522327319505
1522327319505,1522327319644,1522327319644,1522327319785
1522327319785,1522327319923,1522327319923,1522327320064
1522327320064,1522327320202,1522327320202,1522327320343
1522327320343,1522327320482,1522327320482,1522327320623
1522327320623,1522327320762,1522327320762,1522327320903
1522327320903,1522327321041,1522327321042,1522327321183
1522327321183,1522327321321,1522327321321,1522327321463
1522327321463,1522327321601,1522327321601,1522327321742
1522327321742,1522327321880,1522327321880,1522327322022
1522327322022,1522327322160,1522327322160,1522327322301
1522327322301,1522327322440,1522327322440,1522327322581
1522327322581,1522327322719,1522327322719,1522327322860
1522327322860,1522327322998,1522327322998,1522327323139
1522327323139,1522327323277,1522327323278,1522327323418
1522327323418,1522327323556,1522327323557,1522327323698
1522327323698,1522327323836,1522327323836,1522327323977
1522327323977,1522327324115,1522327324115,1522327324256
1522327324256,1522327324395,1522327324395,1522327324536
1522327324536,1522327324674,1522327324674,1522327324815
1522327324815,1522327324953,1522327324954,1522327325095
1522327325095,1522327325233,1522327325234,1522327325375
1522327325375,1522327325513,1522327325513,1522327325654
1522327325654,1522327325792,1522327325793,1522327325934
1522327325934,1522327326072,1522327326072,1522327326213
1522327326213,1522327326351,1522327326351,1522327326493
1522327326493,1522327326631,1522327326632,1522327326772
1522327326772,1522327326911,1522327326911,1522327327053
1522327327053,1522327327191,1522327327192,1522327327332
1522327327332,1522327327471,1522327327471,1522327327612
1522327327612,1522327327750,1522327327750,1522327327891
1522327327891,1522327328030,1522327328030,1522327328172
1522327328172,1522327328310,1522327328310,1522327328451
1522327328451,1522327328589,1522327328590,1522327328730
1522327328731,1522327328869,1522327328869,1522327329010
1522327329010,1522327329148,1522327329148,1522327329290
1522327329290,1522327329429,1522327329429,1522327329570
1522327329570,1522327329708,1522327329709,1522327329850
1522327329850,1522327329988,1522327329988,1522327330129
1522327330129,1522327330267,1522327330267,1522327330408
1522327330408,1522327330546,1522327330547,1522327330688
1522327330688,1522327330826,1522327330826,1522327330967
1522327330967,1522327331105,1522327331105,1522327331246
1522327331246,1522327331385,1522327331385,1522327331526
1522327331526,1522327331664,1522327331664,1522327331805
1522327331805,1522327331943,1522327331943,1522327332084
1522327332084,1522327332222,1522327332223,1522327332363
1522327332363,1522327332502,1522327332502,1522327332642
1522327332643,1522327332781,1522327332781,1522327332922
1522327332922,1522327333060,1522327333060,1522327333201
1522327333201,1522327333339,1522327333339,1522327333482
1522327333482,1522327333621,1522327333621,1522327333762
1522327333762,1522327333900,1522327333900,1522327334041
1522327334041,1522327334179,1522327334179,1522327334320
1522327334320,1522327334458,1522327334459,1522327334600
1522327334600,1522327334738,1522327334738,1522327334879
1522327334879,1522327335017,1522327335018,1522327335159
1522327335159,1522327335297,1522327335297,1522327335438
1522327335438,1522327335577,1522327335577,1522327335718
1522327335718,1522327335856,1522327335856,1522327335997
1522327335998,1522327336136,1522327336136,1522327336280
1522327336280,1522327336419,1522327336419,1522327337053
1522327337053,1522327337191,1522327337191,1522327337332
1522327337332,1522327337470,1522327337470,1522327337611
1522327337611,1522327337750,1522327337750,1522327337891
1522327337891,1522327338029,1522327338029,1522327338170
1522327338170,1522327338308,1522327338308,1522327338449
1522327338449,1522327338587,1522327338587,1522327338728
1522327338728,1522327338866,1522327338866,1522327339007
1522327339007,1522327339145,1522327339145,1522327339286
1522327339286,1522327339424,1522327339424,1522327339565
1522327339565,1522327339703,1522327339703,1522327339844
1522327339844,1522327339982,1522327339983,1522327340123
1522327340123,1522327340262,1522327340262,1522327340403
1522327340403,1522327340541,1522327340541,1522327340682
1522327340682,1522327340821,1522327340821,1522327340962
1522327340962,1522327341100,1522327341100,1522327341241
1522327341241,1522327341379,1522327341379,1522327341520
1522327341520,1522327341658,1522327341658,1522327341799
1522327341799,1522327341937,1522327341937,1522327342078
1522327342078,1522327342216,1522327342216,1522327342357
1522327342357,1522327342495,1522327342496,1522327342637
1522327342637,1522327342775,1522327342775,1522327342916
1522327342916,1522327343054,1522327343055,1522327343196
1522327343196,1522327343334,1522327343334,1522327343475
1522327343475,1522327343614,1522327343614,1522327343755
1522327343755,1522327343893,1522327343893,1522327344034
1522327344034,1522327344172,1522327344173,1522327344314
1522327344314,1522327344452,1522327344452,1522327344593
1522327344593,1522327344732,1522327344732,1522327344873
1522327344873,1522327345011,1522327345011,1522327345152
1522327345152,1522327345291,1522327345291,1522327345432
1522327345433,1522327345571,1522327345571,1522327345712
1522327345712,1522327345850,1522327345850,1522327345992
1522327345992,1522327346130,1522327346130,1522327346271
1522327346271,1522327346409,1522327346410,1522327346551
1522327346551,1522327346689,1522327346689,1522327346831
1522327346831,1522327346969,1522327346969,1522327347110
1522327347110,1522327347248,1522327347249,1522327347390
1522327347390,1522327347528,1522327347528,1522327347670
1522327347670,1522327347808,1522327347808,1522327347949
1522327347949,1522327348087,1522327348087,1522327348228
1522327348228,1522327348366,1522327348366,1522327348507
1522327348507,1522327348645,1522327348646,1522327348787
1522327348787,1522327348925,1522327348925,1522327349066
1522327349066,1522327349204,1522327349204,1522327349345
1522327349345,1522327349484,1522327349484,1522327349625
1522327349625,1522327349763,1522327349763,1522327349904
1522327349904,1522327350042,1522327350042,1522327350183
1522327350183,1522327350321,1522327350321,1522327350462
1522327350463,1522327350600,1522327350601,1522327350741
1522327350741,1522327350879,1522327350879,1522327351020
1522327351021,1522327351159,1522327351159,1522327351300
1522327351300,1522327351438,1522327351438,1522327351580
1522327351580,1522327351718,1522327351718,1522327351860
1522327351860,1522327351998,1522327351998,1522327352139
1522327352139,1522327352277,1522327352277,1522327352419
1522327352419,1522327352557,1522327352557,1522327352698
1522327352698,1522327352836,1522327352836,1522327352977
1522327352977,1522327353115,1522327353115,1522327353256
1522327353256,1522327353394,1522327353394,1522327353535
1522327353535,1522327353673,1522327353673,1522327353814
1522327353814,1522327353952,1522327353952,1522327354093
1522327354093,1522327354230,1522327354231,1522327354372
